Artist;Scrobblings;Origen
Motorama;10;
Nifelheim;10;
Nocturnal Blood;10;
Nocturnal Breed;10;
Pale Misery;10;
Pig's Blood;10;
powwowW;10;
Stormlord;10;
Sutura;10;
Tenebris;10;
Törr;10;
Totalitär;10;
Ungfell;10;
Unlastiath;10;
Vermin Womb;10;
VR SEX;10;
WACHITA CHINA;10;
African Imperial Wizard;9;
Asmodeus;9;
Author & Punisher;9;
Benediction;9;
Bethlehem;9;
Black Candle;9;
Bobby Cruz;9;
Bunker 66;9;
Crossparty;9;
Eerified Catacomb;9;
El Gato Negro;9;
Etran de L'AÏr;9;
Falxo Pozitivo;9;
Fenriz' Red Planet;9;
Fortress;9;
Garmarna;9;
Gesaffelstein;9;
Gortuary;9;
Hexenmeister;9;
José José;9;
Julio Miranda;9;
Keys To The Astral Gates And Mystic Doors;9;
Les Chants de Nihil;9;
Lost Graveyard;9;
Ludwig van Beethoven;9;
Lumpy and The Dumpers;9;
Lunar Aurora;9;
Malefic Order;9;
Metalucifer;9;
Mgła;9;
Micro Naps;9;
Morsun Diaboli;9;
Mysteries;9;
Necromantia;9;
Nightbringer;9;
Order Of The Ebon Hand;9;
Philip Glass;9;
Photophobia;9;
Poltergeist;9;
Ragnarok;9;
Raspberry Bulbs;9;
Raven Dark;9;
RSAC;9;
Salem;9;
Sextile;9;
Shygirl;9;
Sinistr0;9;
Smyrtonos;9;
Spectral Lore;9;
Stormkeep;9;
Sutcliffe Jügend;9;
Svartidauði;9;
Syny Severa;9;
Teen Pussy Fuckers;9;
The Sarcophagus;9;
This Cold Night;9;
Tormentor;9;
Vagézaryavtre;9;
Vetala;9;
Voltio;9;
Wolfgang Amadeus Mozart;9;
Wolves Den;9;
Zventa Sventana;9;
Мать Сыра Земля;9;
Оргазм Нострадамуса;9;
хрися;9;
Արամ Խաչատրյան;9;
Aksumite;8;
Astriaal;8;
Birkabein;8;
Blasphamagoatachrist;8;
Cabaret Nocturne;8;
Carach Angren;8;
Cerebral Incubation;8;
Codex Empire;8;
Death Karma;8;
Devouring Star;8;
Durbatuluk;8;
Dybass;8;
Dzlvarv;8;
Erzebet;8;
